job_id,titulo_vaga,cliente,vaga_sap,nivel_profissional_req,nivel_ingles_req,nivel_espanhol_req,areas_atuacao,principais_atividades,competencias,beneficios_raw,req_text,req_text_clean,req_text_clean_noaccents,req_len_tokens
5175,Coordenador SAP PP/QM Senior,Mann and Sons,False,Coordenador,Avançado,Nenhum,TI - SAP-,Experiência como Coordenador SAP PP/QM Sênior,Experiência como Coordenador SAP PP/QM Sênior,,Experiência como Coordenador SAP PP/QM Sênior Experiência como Coordenador SAP PP/QM Sênior,como coordenador sap pp/qm sênior como coordenador sap pp/qm sênior,como coordenador sap pp/qm senior como coordenador sap pp/qm senior,10
5174,Consultor SAP MM Senior,Mann and Sons,False,Sênior,Avançado,Nenhum,TI - SAP-,Experiência como Consultor SAP MM Sênior.,Experiência como Consultor SAP MM Sênior.,,Experiência como Consultor SAP MM Sênior. Experiência como Consultor SAP MM Sênior.,como consultor sap mm sênior. como consultor sap mm sênior.,como consultor sap mm senior. como consultor sap mm senior.,10
5173,Consultor SAP MM Senior,Mann and Sons,False,Sênior,Avançado,Nenhum,TI - SAP-,Experiência com consultor SAP MM.,Experiência com consultor SAP MM.,,Experiência com consultor SAP MM. Experiência com consultor SAP MM.,com consultor sap mm. com consultor sap mm.,com consultor sap mm. com consultor sap mm.,8
5172,System Analyst-WOlks,Barnes-Woods,False,Sênior,Nenhum,Fluente,TI - SAP-,desc-email,desc-email,,desc-email desc-email,desc-email desc-email,desc-email desc-email,2
5171,Microsoft 365 Architect-Wolks,Barnes-Woods,False,Sênior,Nenhum,Nenhum,TI - SAP-,desc email,desc email,,desc email desc email,desc email desc email,desc email desc email,4
5170,DBA SQL-Wolks,Barnes-Woods,False,Sênior,Nenhum,Fluente,TI - SAP-,"desc, email","desc, email",,"desc, email desc, email",desc email desc email,desc email desc email,4
5169,SharePoint Analyst Sr-WOlks,Barnes-Woods,False,Sênior,Nenhum,Fluente,TI - SAP-,"desc, email","desc, email",,"desc, email desc, email",desc email desc email,desc email desc email,4
5168,SharePoint Architect-wolks,Barnes-Woods,False,Sênior,Nenhum,Fluente,TI - SAP-,"desc, email","desc, email",,"desc, email desc, email",desc email desc email,desc email desc email,4
5167,Project manager-Wolks,Barnes-Woods,False,Sênior,Avançado,Fluente,TI - SAP-,"desc, email","desc, email",,"desc, email desc, email",desc email desc email,desc email desc email,4
5166,SAP Technical / ABAP - 11907490,Nelson-Page,False,Analista,Básico,Básico,TI - Projetos-,"Descrição/Comentário: Configuration & Release Management - ABAP
Outros detalhes do trabalho: 1 - Build Management (P4 - Expert) | 2 - Design & Build Enablement (P4 - Expert)
Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Descrição/Comentário: Configuration & Release Management - ABAP
Outros detalhes do trabalho: 1 - Build Management (P4 - Expert) | 2 - Design & Build Enablement (P4 - Expert)
Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,"Descrição/Comentário: Configuration & Release Management - ABAP
Outros detalhes do trabalho: 1 - Build Management (P4 - Expert) | 2 - Design & Build Enablement (P4 - Expert)
Primary Skill * Others (Please note the Skill at the beginning of Job Description) Descrição/Comentário: Configuration & Release Management - ABAP
Outros detalhes do trabalho: 1 - Build Management (P4 - Expert) | 2 - Design & Build Enablement (P4 - Expert)
Primary Skill * Others (Please note the Skill at the beginning of Job Description)",descrição/comentário configuration release management - abap outros detalhes do trabalho 1 - build management p4 - expert 2 - design build enablement p4 - expert primary skill others please note the skill at the beginning of job description descrição/comentário configuration release management - abap outros detalhes do trabalho 1 - build management p4 - expert 2 - design build enablement p4 - expert primary skill others please note the skill at the beginning of job description,descricao/comentario configuration release management - abap outros detalhes do trabalho 1 - build management p4 - expert 2 - design build enablement p4 - expert primary skill others please note the skill at the beginning of job description descricao/comentario configuration release management - abap outros detalhes do trabalho 1 - build management p4 - expert 2 - design build enablement p4 - expert primary skill others please note the skill at the beginning of job description,76
5165,Analista SAP DM - 11872372,Nelson-Page,False,Analista,Básico,Básico,TI - Projetos-,"Analista SAP DM (SAP Disclosure Management XBRL Mapper )
Outros detalhes do trabalho: 1 - Configuration & Release Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner)
Primary Skill Build Management","Analista SAP DM (SAP Disclosure Management XBRL Mapper )
Outros detalhes do trabalho: 1 - Configuration & Release Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner)
Primary Skill Build Management",,"Analista SAP DM (SAP Disclosure Management XBRL Mapper )
Outros detalhes do trabalho: 1 - Configuration & Release Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner)
Primary Skill Build Management Analista SAP DM (SAP Disclosure Management XBRL Mapper )
Outros detalhes do trabalho: 1 - Configuration & Release Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner)
Primary Skill Build Management",analista sap dm sap disclosure management xbrl mapper outros detalhes do trabalho 1 - configuration release management p1 - beginner 2 - design build enablement p1 - beginner primary skill build management analista sap dm sap disclosure management xbrl mapper outros detalhes do trabalho 1 - configuration release management p1 - beginner 2 - design build enablement p1 - beginner primary skill build management,analista sap dm sap disclosure management xbrl mapper outros detalhes do trabalho 1 - configuration release management p1 - beginner 2 - design build enablement p1 - beginner primary skill build management analista sap dm sap disclosure management xbrl mapper outros detalhes do trabalho 1 - configuration release management p1 - beginner 2 - design build enablement p1 - beginner primary skill build management,64
5164,Consultor Siebel - 11885549,Nelson-Page,False,Analista,Básico,Básico,TI - Projetos-,"Descrição/Comentário: Vaga para profissional com experiência em definição de solução funcional para aplicações CRM, preferencialmente Siebel, no mercado de Telecom. Especificação de High Level Design, análise de requisitos, discussão de fluxos de negócio com usuários e criação de especificações funcionais. Função poderá ser realizada por Home Office.
Outros detalhes do trabalho: 1 - CRM Business Architecture (P2 - Intermediate). -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
Primary Skill Application Design","Descrição/Comentário: Vaga para profissional com experiência em definição de solução funcional para aplicações CRM, preferencialmente Siebel, no mercado de Telecom. Especificação de High Level Design, análise de requisitos, discussão de fluxos de negócio com usuários e criação de especificações funcionais. Função poderá ser realizada por Home Office.
Outros detalhes do trabalho: 1 - CRM Business Architecture (P2 - Intermediate). -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
Primary Skill Application Design",,"Descrição/Comentário: Vaga para profissional com experiência em definição de solução funcional para aplicações CRM, preferencialmente Siebel, no mercado de Telecom. Especificação de High Level Design, análise de requisitos, discussão de fluxos de negócio com usuários e criação de especificações funcionais. Função poderá ser realizada por Home Office.
Outros detalhes do trabalho: 1 - CRM Business Architecture (P2 - Intermediate). -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
Primary Skill Application Design Descrição/Comentário: Vaga para profissional com experiência em definição de solução funcional para aplicações CRM, preferencialmente Siebel, no mercado de Telecom. Especificação de High Level Design, análise de requisitos, discussão de fluxos de negócio com usuários e criação de especificações funcionais. Função poderá ser realizada por Home Office.
Outros detalhes do trabalho: 1 - CRM Business Architecture (P2 - Intermediate). -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
Primary Skill Application Design",descrição/comentário vaga para profissional com em definição de solução funcional para aplicações crm preferencialmente siebel no mercado de telecom. especificação de high level design análise de discussão de fluxos de negócio com usuários e criação de especificações funcionais. função poderá ser realizada por home office. outros detalhes do trabalho 1 - crm business architecture p2 - intermediate. -possibilidade de absorção -trabalho remoto por conta da pandemia -horário das 9h ás 18h primary skill application design descrição/comentário vaga para profissional com em definição de solução funcional para aplicações crm preferencialmente siebel no mercado de telecom. -possibilidade de absorção -trabalho remoto por conta da pandemia -horário das 9h ás 18h primary skill application design,descricao/comentario vaga para profissional com em definicao de solucao funcional para aplicacoes crm preferencialmente siebel no mercado de telecom. especificacao de high level design analise de discussao de fluxos de negocio com usuarios e criacao de especificacoes funcionais. funcao podera ser realizada por home office. outros detalhes do trabalho 1 - crm business architecture p2 - intermediate. -possibilidade de absorcao -trabalho remoto por conta da pandemia -horario das 9h as 18h primary skill application design descricao/comentario vaga para profissional com em definicao de solucao funcional para aplicacoes crm preferencialmente siebel no mercado de telecom. -possibilidade de absorcao -trabalho remoto por conta da pandemia -horario das 9h as 18h primary skill application design,112
